實體類別,英文標籤,資料型態,說明,範例,所屬模組,評估類型
文書類型,DOC_TYPE,str,該份法律文書的類型,,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
裁判機關,COURT,str,作出裁定/判決的法院（含庭別與審級）,臺灣臺中地方法院、臺灣士林地方法院簡易庭,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
移送機關,TRANSFER_AGENCY,str,移送案件的警察機關（社維法案件適用，刑事案件為null）,臺中市政府警察局霧峰分局,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
檢察機關,PROSECUTION,str,起訴或聲請處刑的檢察署（刑事案件適用，社維法為null）,臺灣臺中地方檢察署,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
案號,CASE_NO,list[str],案件編號（年度＋字別＋號），多案號以list表示,109年度中秩字第94號,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
關聯案號,RELATED_CASE_NO,list[str] | null,前審/起訴/偵查/上訴/併辦案號（null表示無關聯案號）,109年度偵字第3272號,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
被移送人/被告,DEFENDANT,list[str],被移送或被起訴之行為人姓名（多被告以list表示）,"['廖顯文', '陳奇昌']",案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
被害人/告訴人,VICTIM,list[str] | null,因行為受害或提出告訴之自然人,"['許寬裕', '曾雅珠']",案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
被害機構,VICTIM_ORG,list[str] | null,因行為受害之法人或機構,"['羅東博愛醫院', '童綜合醫院']",案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
抗告人/上訴人,APPELLANT,str | null,對裁定提起抗告或對判決提起上訴之一方,魏志軒、臺灣桃園地方檢察署檢察官,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
法官,JUDGE,list[str] | null,承審法官（合議庭含審判長及陪席法官）,"['曹宗鼎', '顏珮珊（審判長）']",案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
檢察官,PROSECUTOR,str | null,偵辦/到庭/提起上訴之檢察官,張永政（檢察官）、洪榮甫（提起公訴）,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
辯護人,DEFENSE_LAWYER,str | null,被告之選任或指定辯護人,吳光群律師,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
法定代理人,LEGAL_GUARDIAN,str | null,未成年被移送人之法定代理人,歐祖明,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
適用法條（原始）,LAW,list[str],法院適用或論及的所有法律條文（每條獨立一個元素）,社會秩序維護法第63條第1項第5款,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
適用法條（分類）,LAW_CLASSIFIED,list[dict],每條法條標註功能角色,"[{'article': '特別條例第14條', 'role': '構成要件'}]",案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
行為時間,ACT_TIME,str | null,行為人實施違法行為的時間（民國年月日，原文無具體日期時按照原文描述）,109年4月2日,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
裁判時間,RULING_TIME,str,法院作成裁定/判決的日期,109年5月12日,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
行為地點,ACT_PLACE,str | null,違法行為發生的地理位置,臺中市○○區○○街○○號1樓,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
傳播平台/管道,PLATFORM,list[str] | null,行為人實際散佈訊息所使用的平台或管道（僅指散佈平台，不含接收來源平台）,,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
群組/頁面名稱,GROUP_NAME,str | null,散佈訊息的具體群組、社團或粉專名稱,馬岡俱樂部、沙鹿之美,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
行為態樣,ACT_TYPE,str,行為人具體做了什麼違法行為,散佈不實謠言、轉傳不實訊息、口頭當眾宣稱自武漢返國,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,C
不實訊息內容,RUMOR_CONTENT,str | null,被散佈的具體訊息內容,武漢病毒博愛醫院送去一個確診的到了,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,C
散佈類型,SPREAD_TYPE,str | null,行為人散佈的方式分類,,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,A
散佈方式細節,SPREAD_DETAIL,str | null,原始的散佈方式描述（僅當原始資料為長描述時保留）,臉書帳號「邱祥巴」轉貼,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,C
裁判結果分類,VERDICT_CATEGORY,str | null,標準化的裁判結果分類,,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,A
處罰內容,SANCTION,str | null,法院宣告的處罰金額或刑度（不罰/無罪/起訴書為null）,新臺幣貳仟元、拘役伍拾日、有期徒刑伍月,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,B
裁判理由,RATIONALE,str | null,法院作出該裁判的理由（起訴書/聲請書為null）,審酌動機、目的、手段、智識程度、所生危害及犯後態度等,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,C
其他事實,OTHER,str | null,答案涉及的事實資訊但不屬於其他 entity 欄位,50分鐘、68人、VOLK11、114.27.29.131,案件基本資訊 — 所有文書共通的基本事實與裁判資訊,C
訊息不實性認定,FALSITY,str | null,法院/檢察官對訊息是否構成謠言或不實訊息的認定,肯定,構成要件分析 — 法院對客觀要件（不實性、公共危害）與主觀要件（故意）的認定,A
訊息不實性說明,FALSITY_DESC,str | null,法院認定訊息不實性的具體理由,經中央流行疫情指揮中心函覆確認該訊息為不實訊息，且被移送人於警詢時已供承所傳送訊息為謠言,構成要件分析 — 法院對客觀要件（不實性、公共危害）與主觀要件（故意）的認定,C
公共危害認定,PUBLIC_HARM,str | null,法院對公共安寧影響或足生損害的認定,肯定,構成要件分析 — 法院對客觀要件（不實性、公共危害）與主觀要件（故意）的認定,A
公共危害說明,PUBLIC_HARM_DESC,str | null,法院認定公共危害的具體理由,致民眾擔憂疫情而心生畏懼與恐慌，足以影響公共安寧,構成要件分析 — 法院對客觀要件（不實性、公共危害）與主觀要件（故意）的認定,C
故意認定,INTENT_BINARY,str | null,故意之有無（傳染病的直接故意與未必故意均映射為肯定）,否定,構成要件分析 — 法院對客觀要件（不實性、公共危害）與主觀要件（故意）的認定,A
故意類型,INTENT_DETAIL,str | null,故意之類型（僅傳染病案件區分，社維法案件為null）,未必故意,構成要件分析 — 法院對客觀要件（不實性、公共危害）與主觀要件（故意）的認定,A
故意說明,INTENT_DESC,str | null,法院認定主觀故意的具體理由,未詳加查證即轉貼於LINE群組，足見有不論訊息是否為真實亦將予散布之不確定故意,構成要件分析 — 法院對客觀要件（不實性、公共危害）與主觀要件（故意）的認定,C
